#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-43.00967,490,1925.918575
-43.00967,490,1925.918586
-43.00967,490,1925.918597
-43.00967,490,1925.918608
-43.00967,490,1925.918619
-43.00967,490,1925.918631
-43.00967,490,1925.918642
-43.00967,490,1925.918653
-43.00967,490,1925.918663
-43.00967,490,1925.918674
-43.00967,490,1925.918687
-43.00967,490,1925.9187
-43.00967,490,1925.918712
-43.00967,490,1925.918724
-43.00967,490,1925.918734
-43.00967,490,1925.918745
-43.00967,490,1925.918756
-43.00967,490,1925.918766
-43.00967,490,1925.918777
-43.00967,490,1925.918788
-43.00967,490,1925.918799
-43.00967,490,1925.918809
-43.00967,490,1925.91882
-43.00967,490,1925.918831
-43.00967,490,1925.918841
-43.00967,490,1925.918852
-43.00967,490,1925.918864
-43.00967,490,1925.918874
-43.00967,490,1925.918885
-43.00967,490,1925.918895
-43.00967,490,1925.918907
-43.00967,490,1925.918917
-43.00967,490,1925.918928
-43.00967,490,1925.918938
-43.00967,490,1925.91895
-43.00967,490,1925.918961
-43.00967,490,2075.62267
-43.00967,490,2075.622764
-43.00967,490,2075.622781
-43.00967,490,2075.622795
-43.00967,490,2075.622807
-43.00967,490,2075.62282
-43.00967,490,2075.622831
-43.00967,490,2075.622843
-43.00967,490,2075.622854
-43.00967,490,2075.622864
-43.00967,490,2075.622876
-43.00967,490,2075.622886
-43.00967,490,2075.622897
-43.00967,490,2075.622908
-43.00967,490,2075.622921
-43.00967,490,2075.622933
-43.00967,490,2075.622944
-43.00967,490,2075.622955
-43.00967,490,2075.622966
-43.00967,490,2075.622977
-43.00967,490,2075.622989
-43.00967,490,2075.623
-43.00967,490,2075.623012
-43.00967,490,2075.623023
-43.00967,490,2075.623033
-43.00967,490,2075.623045
-43.00967,490,2075.623056
-43.00967,490,2075.623072
-43.00967,490,2075.623084
-43.00967,490,2075.623095
-43.00967,490,2075.623106
-43.00967,490,2075.623117
-43.00967,490,2075.623127
-43.00967,490,2075.623138
-43.00967,490,2075.623149
-43.00967,490,2075.62316
-43.00967,490,2075.623171
-43.00967,490,2075.623183
-43.00967,490,2075.623195
-43.00967,490,2075.623206
-43.00967,490,2075.623217
-43.00967,490,2075.623228
-43.00967,490,2075.623238
-43.00967,490,2075.623249
-43.00967,490,2075.62326
-43.00967,490,2075.623271
-43.00967,490,2075.623283
-43.00967,490,2075.623294
-43.00967,490,2075.623304
-43.00967,490,2075.623315
-43.00967,490,2075.623326
-43.00967,490,2075.623336
-43.00967,490,2075.623347
-43.00967,490,2075.623357
-43.00967,490,2075.623369
-43.00967,490,2075.623379
-43.00967,490,2075.62339
-43.00967,490,2075.6234
-43.00967,490,2075.623411
-43.00967,490,2075.623422
-43.00967,490,2075.623432
-43.00967,490,2075.623442
-43.00967,490,2075.623454
-43.00967,490,2075.623465
-43.00967,490,2224.239
-43.00967,490,2224.239098
-43.00967,490,2224.239115
-43.00967,490,2224.239128
-43.00967,490,2224.239141
-43.00967,490,2224.239152
-43.00967,490,2224.239163
-43.00967,490,2224.239175
-43.00967,490,2224.239186
-43.00967,490,2224.239198
-43.00967,490,2224.239209
-43.00967,490,2224.23922
-43.00967,490,2224.239234
-43.00967,490,2224.239246
-43.00967,490,2224.239257
-43.00967,490,2224.239268
-43.00967,490,2224.239279
-43.00967,490,2224.23929
-43.00967,490,2224.239301
